feature,p25,p50,p75
charge,0.8273166418075562,1.0440170764923096,1.2890652418136597
dom_time,2397.6855009685668847,3187.6473728441442290,4310.0097590473678792
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string,85.0000000000000000,170.0000000000000000,256.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-320.0000000000000000,-0.0000000000000000,320.0000000000000000
pmt_y,-315.1170171634244070,-37.7155564565432684,308.6037601267909167
pmt_z,-200.1383608928858564,49.8839970145579201,299.8616391071141720
