epoch,train_loss,val_loss,lr,best_model_is_updated
0,,0.43817558884620667,0.001966484123840928,True
1,0.5848791003227234,0.41242516040802,0.0018990336684510112,True
2,0.4247351884841919,0.39256733655929565,0.0018315832130610943,True
3,0.40462419390678406,0.380669504404068,0.0017641326412558556,True
4,0.39061614871025085,0.37996506690979004,0.0016966820694506168,True
5,0.3814423382282257,0.3808266818523407,0.0016292316140607,False
6,0.37672945857048035,0.3725105822086334,0.0015617810422554612,True
7,0.37419775128364563,0.3697248697280884,0.0014943304704502225,True
8,0.3716992437839508,0.3681347966194153,0.0014268800150603056,True
9,0.36907514929771423,0.37571969628334045,0.0013594294432550669,False
10,0.3648355305194855,0.364327996969223,0.00129197898786515,True
11,0.363255113363266,0.3657187223434448,0.0012245284160599113,False
12,0.3620279133319855,0.36625054478645325,0.0011570778442546725,False
13,0.35917162895202637,0.3699929714202881,0.0010896273888647556,False
14,0.3575022518634796,0.3668689429759979,0.001022176817059517,False
15,0.35613682866096497,0.3647408187389374,0.0009547263034619391,False
