group,n,accuracy,precision_track,recall_track,specificity_cascade,f1_track,roc_auc,tp,fp,tn,fn
All,45215,0.8613955545725976,0.8722755448910218,0.8245829592174283,0.8937806601812588,0.8477590185837484,0.9072894569830551,17449,2555,21499,3712
NuE CC,3843,0.9638303408795212,0.0,0.0,0.9638303408795212,0.0,,0,139,3704,0
NuE NC,3217,0.9676717438607398,0.0,0.0,0.9676717438607398,0.0,,0,104,3113,0
NuEBar CC,3824,0.9636506276150628,0.0,0.0,0.9636506276150628,0.0,,0,139,3685,0
NuEBar NC,2838,0.9679351656095843,0.0,0.0,0.9679351656095843,0.0,,0,91,2747,0
NuMu CC,10807,0.8265938743407051,1.0,0.8265938743407051,0.0,0.9050658561296859,,8933,0,0,1874
NuMuBar CC,10354,0.8224840641298049,1.0,0.8224840641298049,0.0,0.9025967143614203,,8516,0,0,1838
NuTau CC,5123,0.8010931095061488,0.0,0.0,0.8010931095061488,0.0,,0,1019,4104,0
NuTauBar CC,5209,0.7959301209445191,0.0,0.0,0.7959301209445191,0.0,,0,1063,4146,0
