logE_center,E_center_GeV,n,q16,q50,q84,sigma68_log10,bias_log10,frac68_approx
2.1245000000000003,133.1987042313163,8472,0.013898726272243167,0.14927073575961564,0.4162906985130701,0.20119598612041348,0.14927073575961564,0.589263781363055
2.375,237.13737056616552,6497,-0.10292162770593632,0.07188883064860763,0.34688628498509566,0.224903956345516,0.07188883064860763,0.6784327938674597
2.625,421.6965034285822,5129,-0.19695300206452582,0.02471031905554157,0.35791072244116123,0.27743186225284355,0.02471031905554157,0.8942263002689905
2.875,749.8942093324558,4128,-0.3083116264321394,0.005263482926556869,0.36597155725969477,0.3371415918459171,0.005263482926556869,1.1734096541905141
3.125,1333.5214321633239,3584,-0.4253910913683183,-0.013958919292197678,0.3296025943531259,0.3774968428607221,-0.013958919292197678,1.3850464571116774
3.375,2371.373705661655,2956,-0.5338871250541056,-0.046840591155279505,0.28645460955392177,0.4101708673040137,-0.046840591155279505,1.571407269272317
3.625,4216.965034285822,2463,-0.6325427465935795,-0.10631903443188527,0.248692411123289,0.4406175788584342,-0.10631903443188527,1.758148079393953
3.875,7498.942093324558,1866,-0.7175229193667895,-0.1394612158361061,0.23979747114661595,0.4786601952567027,-0.1394612158361061,2.010649481916037
4.125,13335.21432163324,1449,-0.9086817698477576,-0.18442227295767288,0.23537238180573763,0.5720270758267476,-0.18442227295767288,2.7327342857640433
4.375,23713.737056616555,1148,-0.9613174704793569,-0.16796300533793174,0.22699362805023382,0.5941555492647954,-0.16796300533793174,2.9278559242488544
4.625,42169.65034285822,951,-1.0899544088020692,-0.22332017142352123,0.188337170041948,0.6391457894220086,-0.22332017142352123,3.356580963184798
4.875,74989.42093324558,699,-1.149795830247656,-0.2100975809134132,0.15066019009057047,0.6502280101691132,-0.2100975809134132,3.4691816833410396
5.125,133352.1432163324,541,-1.256405370490639,-0.2821680186022756,0.11365361578370545,0.6850294931371722,-0.2821680186022756,3.842052490678178
5.375,237137.3705661655,399,-1.481108159754342,-0.3973770159572798,0.09793438450920704,0.7895212721317746,-0.3973770159572798,5.159156964776682
5.625,421696.5034285822,300,-1.6315421813175142,-0.42667663198712885,0.02605970316341907,0.8288009422404666,-0.42667663198712885,5.742189303525329
5.875,749894.2093324559,254,-1.559849958844169,-0.4105949238685981,0.0449090258989983,0.8023794923715837,-0.4105949238685981,5.344238372198464
6.125,1333521.432163324,184,-1.6247430586212719,-0.5117814338680253,-0.09987316398891655,0.7624349473161777,-0.5117814338680253,4.78675302465325
6.375,2371373.7056616554,136,-1.6567765070994445,-0.6101056900998976,-0.16750248208098364,0.7446370125092304,-0.6101056900998976,4.554398212807923
6.625,4216965.034285823,79,-1.9910845603178213,-0.8386401879746486,-0.2880265593369593,0.851529000490431,-0.8386401879746486,6.104426090035829
6.875,7498942.093324558,76,-2.83277618200113,-1.0462163716516641,-0.41671849548477186,1.2080288432581792,-1.0462163716516641,15.144657764870015
